COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Medium	p_Small	p_Large	N_Medium	N_Small	N_Large
Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	0	1	1	NA	COG4638	GC_00000042, GC_00000829, GC_00003924, GC_00007725, GC_00007977, GC_00008136, GC_00009073, GC_00009167, GC_00009504, GC_00009808, GC_00011073, GC_00011915, GC_00013050, GC_00013646, GC_00013793, GC_00013852, GC_00014371, GC_00015484, GC_00016985, GC_00017270, GC_00017644, GC_00018734, GC_00022548, GC_00022565, GC_00023156, GC_00023702, GC_00025142, GC_00025392, GC_00027721, GC_00027881, GC_00031500, GC_00032885, GC_00032913, GC_00033186, GC_00033589, GC_00033709, GC_00035187, GC_00036248, GC_00036268, GC_00037394, GC_00038687, GC_00046245, GC_00048407, GC_00051631, GC_00051672, GC_00054108, GC_00060595, GC_00061052, GC_00063247, GC_00068991, GC_00074369, GC_00075636, GC_00078120	1	1	1	151	15	15
Dephospho-CoA kinase (CoaE) (PDB:1JJV)	0	1	1	NA	COG0237	GC_00002699, GC_00025643, GC_00071042, GC_00074291	1	1	1	151	15	15
Pentose-5-phosphate-3-epimerase (Rpe) (PDB:1H1Y)	0	1	1	NA	COG0036	GC_00000215	1	1	1	151	15	15
Valyl-tRNA synthetase (ValS) (PDB:1GAX)	0	1	1	NA	COG0525	GC_00000918	1	1	1	151	15	15
Predicted flavoprotein YhiN (YhiN) (PDB:3V76)	0	1	1	NA	COG2081	GC_00002087, GC_00037754	1	1	1	151	15	15
Disulfide bond formation protein DsbB (DsbB) (PDB:2LTQ)	0	1	1	NA	COG1495	GC_00001840, GC_00005544, GC_00008864	1	1	1	151	15	15
Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)	0	1	1	NA	COG0535	GC_00001514, GC_00002033, GC_00004489, GC_00005560, GC_00009970, GC_00010717, GC_00011049, GC_00013795, GC_00014636, GC_00019851, GC_00019982, GC_00020884, GC_00021987, GC_00023811, GC_00026278, GC_00027959, GC_00028487, GC_00035379, GC_00035647, GC_00036857, GC_00039454, GC_00041790, GC_00045021, GC_00050202, GC_00053424, GC_00055356, GC_00063233, GC_00063319, GC_00066232, GC_00066246, GC_00068976, GC_00071489, GC_00072932, GC_00076947	1	1	1	151	15	15
ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)	0	1	1	NA	COG0747	GC_00000188, GC_00000340, GC_00000452, GC_00000500, GC_00000508, GC_00000810, GC_00003254, GC_00003256, GC_00003392, GC_00003850, GC_00003934, GC_00003961, GC_00004128, GC_00004158, GC_00004182, GC_00005669, GC_00006671, GC_00007347, GC_00007532, GC_00008053, GC_00008563, GC_00010373, GC_00010462, GC_00010485, GC_00011077, GC_00011318, GC_00011719, GC_00011881, GC_00011939, GC_00012499, GC_00012679, GC_00013059, GC_00013067, GC_00013082, GC_00013102, GC_00013179, GC_00013182, GC_00013789, GC_00015658, GC_00016048, GC_00016212, GC_00016513, GC_00017949, GC_00018610, GC_00018808, GC_00019114, GC_00019634, GC_00019721, GC_00020087, GC_00020175, GC_00020414, GC_00020534, GC_00020537, GC_00020716, GC_00020887, GC_00022010, GC_00022249, GC_00022253, GC_00022911, GC_00023859, GC_00024172, GC_00024173, GC_00024932, GC_00025828, GC_00027114, GC_00028077, GC_00028189, GC_00028662, GC_00028763, GC_00028952, GC_00030594, GC_00031614, GC_00033549, GC_00035963, GC_00037384, GC_00037470, GC_00037520, GC_00038052, GC_00041081, GC_00041642, GC_00041968, GC_00043328, GC_00044006, GC_00047675, GC_00047702, GC_00048509, GC_00052611, GC_00058966, GC_00060307, GC_00061359, GC_00061636, GC_00066452, GC_00071783, GC_00072021, GC_00073095, GC_00073951, GC_00077165, GC_00078397	1	1	1	151	15	15
Ribosomal protein L28 (RpmB) (PDB:2JZ6)	0	1	1	NA	COG0227	GC_00002427	1	1	1	151	15	15
Signal recognition particle GTPase (Ffh) (PDB:2V3C)	0	1	1	NA	COG0541	GC_00000666	1	1	1	151	15	15
Polyprenyltransferase (heme O synthase) (CyoE)	0	1	1	NA	COG0109	GC_00000471, GC_00037159	1	1	1	151	15	15
TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)	0	1	1	NA	COG4664	GC_00005030, GC_00007013, GC_00009777, GC_00010718, GC_00011787, GC_00015578, GC_00025999, GC_00032010, GC_00034879, GC_00058516	1	1	1	151	15	15
4-diphosphocytidyl-2C-methyl-D-erythritol kinase (IspE) (PDB:1OJ4)	0	1	1	NA	COG1947	GC_00001567	1	1	1	151	15	15
Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF)	0	1	1	NA	COG4319	GC_00003012, GC_00003275, GC_00003778, GC_00003996, GC_00004087, GC_00004604, GC_00005507, GC_00005630, GC_00007833, GC_00008634, GC_00011745, GC_00011919, GC_00013016, GC_00013452, GC_00014613, GC_00015370, GC_00016727, GC_00016839, GC_00017512, GC_00018616, GC_00019866, GC_00019965, GC_00020385, GC_00021107, GC_00021687, GC_00024608, GC_00024832, GC_00029401, GC_00030007, GC_00031510, GC_00031895, GC_00034354, GC_00035735, GC_00038104, GC_00041931, GC_00044378, GC_00047856, GC_00049182, GC_00052621, GC_00053556, GC_00054917, GC_00056318, GC_00060251, GC_00060921, GC_00070983, GC_00071599, GC_00071601, GC_00072479, GC_00076011, GC_00078277, GC_00078401	1	1	1	151	15	15
Predicted phosphohydrolase, MPP superfamily (YaeI)	0	1	1	NA	COG1408	GC_00002664, GC_00007576, GC_00009317, GC_00010728, GC_00055981	1	1	1	151	15	15
DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	0	1	1	NA	COG0583	GC_00000332, GC_00000600, GC_00000680, GC_00000997, GC_00001053, GC_00001380, GC_00001529, GC_00001630, GC_00001919, GC_00002022, GC_00002189, GC_00002267, GC_00002493, GC_00002891, GC_00002899, GC_00003158, GC_00003164, GC_00003175, GC_00003229, GC_00003316, GC_00003441, GC_00003594, GC_00003604, GC_00003610, GC_00003720, GC_00003853, GC_00003858, GC_00003860, GC_00003964, GC_00003979, GC_00004098, GC_00004183, GC_00004222, GC_00004322, GC_00004333, GC_00004430, GC_00004500, GC_00004503, GC_00004546, GC_00004586, GC_00004693, GC_00005003, GC_00005128, GC_00005142, GC_00005256, GC_00005264, GC_00005274, GC_00005300, GC_00005339, GC_00005382, GC_00005441, GC_00005711, GC_00005864, GC_00006137, GC_00006317, GC_00006404, GC_00006655, GC_00006672, GC_00006852, GC_00006957, GC_00006980, GC_00006999, GC_00007029, GC_00007215, GC_00007251, GC_00007333, GC_00007500, GC_00007583, GC_00007729, GC_00007836, GC_00007865, GC_00008253, GC_00008262, GC_00008372, GC_00008410, GC_00008576, GC_00008619, GC_00008683, GC_00008725, GC_00008912, GC_00008918, GC_00008922, GC_00008964, GC_00009036, GC_00009081, GC_00009207, GC_00009267, GC_00009432, GC_00009435, GC_00009482, GC_00009483, GC_00009502, GC_00009579, GC_00009659, GC_00009673, GC_00009695, GC_00009727, GC_00009883, GC_00009938, GC_00009998, GC_00010096, GC_00010225, GC_00010298, GC_00010517, GC_00010578, GC_00010615, GC_00010648, GC_00010680, GC_00010727, GC_00010734, GC_00010873, GC_00010929, GC_00011068, GC_00011174, GC_00011299, GC_00011306, GC_00011369, GC_00011472, GC_00011651, GC_00011712, GC_00011728, GC_00011747, GC_00011750, GC_00011822, GC_00011830, GC_00011996, GC_00012000, GC_00012053, GC_00012062, GC_00012068, GC_00012078, GC_00012099, GC_00012124, GC_00012182, GC_00012198, GC_00012227, GC_00012231, GC_00012277, GC_00012536, GC_00012592, GC_00012692, GC_00012717, GC_00012810, GC_00012835, GC_00012853, GC_00012856, GC_00012915, GC_00012986, GC_00012994, GC_00013070, GC_00013077, GC_00013120, GC_00013290, GC_00013302, GC_00013347, GC_00013383, GC_00013392, GC_00013420, GC_00013426, GC_00013463, GC_00013479, GC_00013484, GC_00013605, GC_00013632, GC_00013637, GC_00013692, GC_00013720, GC_00013785, GC_00013850, GC_00013877, GC_00014062, GC_00014112, GC_00014201, GC_00014222, GC_00014265, GC_00014359, GC_00014377, GC_00014398, GC_00014475, GC_00014491, GC_00014516, GC_00014601, GC_00014622, GC_00014635, GC_00014648, GC_00014652, GC_00014671, GC_00014742, GC_00014855, GC_00014993, GC_00015050, GC_00015158, GC_00015183, GC_00015214, GC_00015245, GC_00015308, GC_00015326, GC_00015332, GC_00015368, GC_00015392, GC_00015413, GC_00015461, GC_00015495, GC_00015640, GC_00015685, GC_00015750, GC_00015789, GC_00015909, GC_00016185, GC_00016238, GC_00016287, GC_00016363, GC_00016412, GC_00016422, GC_00016502, GC_00016620, GC_00016622, GC_00016717, GC_00016943, GC_00017006, GC_00017040, GC_00017074, GC_00017105, GC_00017133, GC_00017413, GC_00017656, GC_00017734, GC_00017891, GC_00017892, GC_00017931, GC_00018001, GC_00018002, GC_00018136, GC_00018388, GC_00018395, GC_00018412, GC_00018621, GC_00018683, GC_00018721, GC_00018771, GC_00018856, GC_00018882, GC_00018885, GC_00019001, GC_00019060, GC_00019105, GC_00019284, GC_00019449, GC_00019703, GC_00019900, GC_00019955, GC_00020006, GC_00020231, GC_00020391, GC_00020511, GC_00020651, GC_00020880, GC_00020936, GC_00021131, GC_00021162, GC_00021208, GC_00021271, GC_00021410, GC_00021470, GC_00021530, GC_00021647, GC_00021679, GC_00021695, GC_00021712, GC_00021727, GC_00021728, GC_00021832, GC_00021838, GC_00021851, GC_00021971, GC_00022116, GC_00022190, GC_00022451, GC_00022523, GC_00022593, GC_00022656, GC_00022776, GC_00022873, GC_00022959, GC_00023131, GC_00023182, GC_00023211, GC_00023272, GC_00023419, GC_00023423, GC_00023549, GC_00023748, GC_00023789, GC_00023952, GC_00023953, GC_00023988, GC_00024025, GC_00024105, GC_00024142, GC_00024151, GC_00024205, GC_00024297, GC_00024334, GC_00024437, GC_00024472, GC_00024495, GC_00024534, GC_00024553, GC_00024578, GC_00024906, GC_00024990, GC_00024992, GC_00025282, GC_00025358, GC_00025371, GC_00025429, GC_00025447, GC_00025688, GC_00025767, GC_00025818, GC_00025864, GC_00026084, GC_00026175, GC_00026284, GC_00026344, GC_00026345, GC_00026586, GC_00026587, GC_00026787, GC_00026920, GC_00026983, GC_00027049, GC_00027064, GC_00027068, GC_00027113, GC_00027165, GC_00027273, GC_00027297, GC_00027303, GC_00027317, GC_00027472, GC_00027527, GC_00027557, GC_00027574, GC_00027636, GC_00027726, GC_00027778, GC_00027837, GC_00027981, GC_00028053, GC_00028609, GC_00028762, GC_00028987, GC_00029328, GC_00029436, GC_00029635, GC_00029765, GC_00029790, GC_00029995, GC_00030077, GC_00030092, GC_00030101, GC_00030110, GC_00030301, GC_00030334, GC_00030362, GC_00030794, GC_00031016, GC_00031063, GC_00031095, GC_00031353, GC_00031509, GC_00031564, GC_00031592, GC_00031641, GC_00031709, GC_00031711, GC_00031963, GC_00031964, GC_00031976, GC_00032224, GC_00032226, GC_00032286, GC_00032295, GC_00032511, GC_00032578, GC_00032613, GC_00032672, GC_00032834, GC_00033191, GC_00033214, GC_00033274, GC_00033371, GC_00033438, GC_00033785, GC_00033829, GC_00033966, GC_00034148, GC_00034296, GC_00034445, GC_00034702, GC_00034719, GC_00034987, GC_00035063, GC_00035067, GC_00035085, GC_00035104, GC_00035290, GC_00035367, GC_00035468, GC_00035665, GC_00035727, GC_00035756, GC_00035830, GC_00036001, GC_00036041, GC_00036118, GC_00036292, GC_00036379, GC_00036604, GC_00036643, GC_00036803, GC_00036828, GC_00036941, GC_00036946, GC_00036983, GC_00036988, GC_00037177, GC_00037491, GC_00037651, GC_00037677, GC_00037694, GC_00037740, GC_00038047, GC_00038101, GC_00038188, GC_00038333, GC_00038369, GC_00038388, GC_00038926, GC_00039223, GC_00039551, GC_00039623, GC_00039783, GC_00039911, GC_00040718, GC_00040890, GC_00040934, GC_00040957, GC_00041332, GC_00041623, GC_00041803, GC_00042096, GC_00042459, GC_00042620, GC_00042824, GC_00042846, GC_00043221, GC_00043423, GC_00043794, GC_00043818, GC_00043965, GC_00044352, GC_00044383, GC_00044668, GC_00044684, GC_00044986, GC_00045082, GC_00045213, GC_00045491, GC_00045517, GC_00045787, GC_00045831, GC_00045954, GC_00045993, GC_00046045, GC_00046223, GC_00046358, GC_00046411, GC_00046877, GC_00047463, GC_00047475, GC_00047515, GC_00047590, GC_00047705, GC_00048012, GC_00048088, GC_00048168, GC_00048324, GC_00048488, GC_00048613, GC_00048831, GC_00049152, GC_00049195, GC_00049257, GC_00049493, GC_00049648, GC_00049861, GC_00049950, GC_00049966, GC_00050116, GC_00050343, GC_00050803, GC_00050921, GC_00051041, GC_00051589, GC_00051937, GC_00051984, GC_00051989, GC_00052068, GC_00052085, GC_00052299, GC_00052685, GC_00052717, GC_00052748, GC_00053115, GC_00053197, GC_00053452, GC_00054024, GC_00054272, GC_00054305, GC_00054403, GC_00054503, GC_00054602, GC_00054778, GC_00055092, GC_00055418, GC_00055581, GC_00055722, GC_00055872, GC_00056105, GC_00056193, GC_00056372, GC_00056427, GC_00056541, GC_00056573, GC_00056597, GC_00056934, GC_00057098, GC_00057909, GC_00058380, GC_00058539, GC_00058630, GC_00058644, GC_00058687, GC_00058701, GC_00058787, GC_00058965, GC_00059463, GC_00059736, GC_00060563, GC_00061053, GC_00061160, GC_00061595, GC_00061732, GC_00061837, GC_00061938, GC_00062019, GC_00062216, GC_00062332, GC_00062703, GC_00063335, GC_00063354, GC_00063579, GC_00063629, GC_00063860, GC_00063960, GC_00064140, GC_00064191, GC_00064371, GC_00064625, GC_00065420, GC_00065457, GC_00065469, GC_00065655, GC_00065703, GC_00065887, GC_00066389, GC_00066661, GC_00066792, GC_00066818, GC_00067167, GC_00067184, GC_00067258, GC_00067358, GC_00067421, GC_00067701, GC_00067741, GC_00067790, GC_00068279, GC_00068720, GC_00068729, GC_00069089, GC_00069681, GC_00069865, GC_00069960, GC_00070082, GC_00070204, GC_00070348, GC_00070394, GC_00070401, GC_00070509, GC_00070632, GC_00070869, GC_00071364, GC_00071512, GC_00071584, GC_00071717, GC_00071788, GC_00071984, GC_00072787, GC_00072880, GC_00073205, GC_00073332, GC_00073347, GC_00073371, GC_00073552, GC_00073813, GC_00074080, GC_00074410, GC_00074532, GC_00074575, GC_00074628, GC_00074719, GC_00074772, GC_00074777, GC_00074823, GC_00075079, GC_00075232, GC_00075346, GC_00075604, GC_00075734, GC_00076079, GC_00076291, GC_00076409, GC_00076605, GC_00076977, GC_00077072, GC_00077147, GC_00077536, GC_00077732, GC_00077812, GC_00077956, GC_00078448, GC_00078584, GC_00078683, GC_00078879, GC_00079222	1	1	1	151	15	15
3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase (MmsB) (PDB:1I36)	0	1	1	NA	COG2084	GC_00001001, GC_00001823, GC_00002153, GC_00002962, GC_00003242, GC_00003347, GC_00003713, GC_00004217, GC_00004229, GC_00004736, GC_00005814, GC_00005883, GC_00007542, GC_00008068, GC_00008448, GC_00009345, GC_00009552, GC_00010950, GC_00011290, GC_00011734, GC_00013073, GC_00014647, GC_00014829, GC_00017035, GC_00018490, GC_00020181, GC_00020780, GC_00022096, GC_00025468, GC_00030774, GC_00032079, GC_00033037, GC_00033916, GC_00036222, GC_00037268, GC_00038680, GC_00039777, GC_00040446, GC_00048662, GC_00051231, GC_00052529, GC_00055805, GC_00056628, GC_00061481, GC_00064735, GC_00069223, GC_00071073, GC_00073266, GC_00073350, GC_00075462, GC_00077455, GC_00078804	1	1	1	151	15	15
DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)	0	1	1	NA	COG1349	GC_00001939, GC_00005447, GC_00005847, GC_00009006, GC_00014538, GC_00016636, GC_00021849, GC_00036649, GC_00036783, GC_00042359, GC_00042953, GC_00049860, GC_00061143, GC_00071860	1	1	1	151	15	15
Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF (GlpC)	0	1	1	NA	COG0247	GC_00000277, GC_00006241, GC_00010767, GC_00021966, GC_00054343	1	1	1	151	15	15
Alkylhydroperoxidase family enzyme, contains CxxC motif (YciW) (PDB:1GU9)	0	1	1	NA	COG2128	GC_00000803, GC_00000865, GC_00000908, GC_00002704, GC_00002939, GC_00003285, GC_00003904, GC_00004094, GC_00004497, GC_00004614, GC_00007024, GC_00007244, GC_00007268, GC_00007412, GC_00007413, GC_00007816, GC_00008081, GC_00008719, GC_00008913, GC_00009395, GC_00011703, GC_00012655, GC_00014185, GC_00015140, GC_00016726, GC_00020458, GC_00023856, GC_00024001, GC_00026108, GC_00028418, GC_00028419, GC_00028570, GC_00029001, GC_00032066, GC_00033185, GC_00038470, GC_00038764, GC_00041924, GC_00044774, GC_00051497, GC_00055693, GC_00057614, GC_00060134, GC_00062067, GC_00065012, GC_00066292, GC_00067113, GC_00068028, GC_00069296, GC_00075131, GC_00078013, GC_00078452	1	1	1	151	15	15
Fructose/tagatose bisphosphate aldolase (Fba) (PDB:1B57)	0	1	1	NA	COG0191	GC_00000101, GC_00026335, GC_00033267	1	1	1	151	15	15
Tellurite resistance membrane protein TerC (TerC)	0	1	1	NA	COG0861	GC_00000947, GC_00001050, GC_00002924, GC_00017499, GC_00060262, GC_00065001, GC_00074222, GC_00079156	1	1	1	151	15	15
Ribosomal protein L31 (RpmE) (PDB:1VS6)	0	1	1	NA	COG0254	GC_00002275	1	1	1	151	15	15
Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily (LON/PUA) (PDB:1ZBO)	0	1	1	NA	COG2802	GC_00001140	1	1	1	151	15	15
ABC-type branched-chain amino acid transport system, ATPase component LivG (LivG) (PDB:1G9X) (PUBMED:29514851)	0	1	1	NA	COG0411	GC_00000469, GC_00000772, GC_00000820, GC_00000843, GC_00000853, GC_00000968, GC_00001091, GC_00001156, GC_00001438, GC_00002919, GC_00003529, GC_00003620, GC_00003927, GC_00004337, GC_00004610, GC_00004656, GC_00004894, GC_00005002, GC_00007097, GC_00007766, GC_00008441, GC_00008837, GC_00009086, GC_00009322, GC_00009735, GC_00009953, GC_00009967, GC_00010963, GC_00011259, GC_00012940, GC_00013154, GC_00013159, GC_00013313, GC_00013340, GC_00013689, GC_00014839, GC_00014843, GC_00015531, GC_00015611, GC_00016190, GC_00016332, GC_00016424, GC_00016878, GC_00017137, GC_00017264, GC_00017547, GC_00018138, GC_00018374, GC_00018437, GC_00018938, GC_00019160, GC_00019806, GC_00020086, GC_00020364, GC_00021259, GC_00021481, GC_00022318, GC_00022775, GC_00023101, GC_00024146, GC_00024857, GC_00024935, GC_00025633, GC_00026211, GC_00026281, GC_00026432, GC_00026649, GC_00026679, GC_00027021, GC_00027825, GC_00028094, GC_00028535, GC_00029706, GC_00029760, GC_00029788, GC_00029889, GC_00030825, GC_00030920, GC_00032363, GC_00032697, GC_00033030, GC_00033031, GC_00033032, GC_00033575, GC_00034482, GC_00034573, GC_00034880, GC_00035316, GC_00035607, GC_00035702, GC_00036145, GC_00036256, GC_00036276, GC_00036817, GC_00037420, GC_00037722, GC_00038929, GC_00044646, GC_00046015, GC_00048438, GC_00050767, GC_00051255, GC_00051724, GC_00054856, GC_00056631, GC_00057340, GC_00063314, GC_00066730, GC_00068262, GC_00070405, GC_00070687, GC_00070842, GC_00071518, GC_00071831, GC_00075294, GC_00076632, GC_00077081, GC_00077117, GC_00077781, GC_00078215	1	1	1	151	15	15
Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU)!!!Ferredoxin-like protein FixX (FixX)	0	1	1	NA	COG0644!!!COG2440	GC_00001466	1	1	1	151	15	15
ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA (CinA) (PDB:4CT9) (PUBMED:25313401)	0	1	1	NA	COG1058	GC_00001841	1	1	1	151	15	15
Flagellar hook-basal body complex protein FliE (FliE)	0	1	1	NA	COG1677	GC_00002330, GC_00004810	1	1	1	151	15	15
Protein-L-isoaspartate O-methyltransferase (Pcm) (PDB:3LBF) (PUBMED:24909784)	0	1	1	NA	COG2518	GC_00002542, GC_00002668, GC_00004177, GC_00004797, GC_00004917, GC_00008329, GC_00009421, GC_00009999, GC_00010983, GC_00011878, GC_00015761, GC_00019012, GC_00020615, GC_00024144, GC_00034727, GC_00035396, GC_00047139, GC_00057479, GC_00063653, GC_00064866, GC_00076656	1	1	1	151	15	15
CBS domain (CBS) (PDB:1B3O)	0	1	1	NA	COG0517	GC_00000138, GC_00002105, GC_00006017, GC_00012323, GC_00017177, GC_00049792	1	1	1	151	15	15
Homogentisate 1,2-dioxygenase (HmgA) (PDB:1EY2)	0	1	1	NA	COG3508	GC_00001283, GC_00062016, GC_00071923	1	1	1	151	15	15
Zn-dependent protease with chaperone function (HtpX) (PDB:2YPT)	0	1	1	NA	COG0501	GC_00001322, GC_00003563, GC_00013666, GC_00016156, GC_00016444, GC_00028088, GC_00038144, GC_00043625	1	1	1	151	15	15
ABC-type multidrug transport system, ATPase and permease component (MdlB) (PDB:2HYD)	0	1	1	NA	COG1132	GC_00000004, GC_00000238, GC_00001227, GC_00001278, GC_00001294, GC_00001324, GC_00010431, GC_00015208, GC_00015737, GC_00018349, GC_00021065, GC_00028606, GC_00028736, GC_00032504, GC_00034033, GC_00038723, GC_00038791, GC_00040811, GC_00054346, GC_00058752, GC_00060556, GC_00064310, GC_00072125	1	1	1	151	15	15
Lipid A disaccharide synthetase (LpxB) (PDB:5W8N)	0	1	1	NA	COG0763	GC_00002721	1	1	1	151	15	15
Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54)	0	1	1	NA	COG4992	GC_00000969, GC_00001310, GC_00001464, GC_00003880, GC_00028004, GC_00033776	1	1	1	151	15	15
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	0	1	1	NA	COG0574	GC_00000693, GC_00007925, GC_00010078, GC_00013354, GC_00014522, GC_00026862, GC_00048984, GC_00055283, GC_00067449	1	1	1	151	15	15
Serine kinase of the HPr protein, regulates carbohydrate metabolism (HprK) (PDB:1JB1)	0	1	1	NA	COG1493	GC_00001932, GC_00010416, GC_00027314, GC_00036471, GC_00037848, GC_00071659	1	1	1	151	15	15
CMP-2-keto-3-deoxyoctulosonic acid synthetase (KdsB) (PDB:1VH1)	0	1	1	NA	COG1212	GC_00001507, GC_00028105	1	1	1	151	15	15
Uncharacterized conserved protein (PDB:1X6M)	0	1	1	NA	COG3791	GC_00000252, GC_00000280, GC_00000978, GC_00001265, GC_00001987, GC_00003390, GC_00003914, GC_00004190, GC_00005658, GC_00005715, GC_00006088, GC_00006475, GC_00007106, GC_00007248, GC_00007311, GC_00007970, GC_00008748, GC_00009178, GC_00010719, GC_00011156, GC_00011257, GC_00011279, GC_00011499, GC_00011530, GC_00013296, GC_00015800, GC_00017834, GC_00019473, GC_00026932, GC_00031011, GC_00031172, GC_00031476, GC_00031727, GC_00032961, GC_00033252, GC_00034052, GC_00035519, GC_00041991, GC_00043482, GC_00043974, GC_00050150, GC_00050171, GC_00058001, GC_00060105, GC_00060472, GC_00063512, GC_00066861, GC_00067647, GC_00069700	1	1	1	151	15	15
Ribosomal protein S10 (RpsJ) (PDB:4V4H)	0	1	1	NA	COG0051	GC_00002222	1	1	1	151	15	15
Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase (HypB) (PDB:2HF8) (PUBMED:24338018;23899293)	0	1	1	NA	COG0378	GC_00000467, GC_00004754	1	1	1	151	15	15
Flagellar hook-associated protein FlgK (FlgK) (PDB:2D4Y)	0	1	1	NA	COG1256	GC_00001083, GC_00004748, GC_00008146	1	1	1	151	15	15
Heat shock protein HspQ (HspQ) (PDB:5YCQ)	0	1	1	NA	COG3785	GC_00001406	1	1	1	151	15	15
Recombinational DNA repair protein RecR (RecR) (PDB:2JGR) (PUBMED:26337406)	0	1	1	NA	COG0353	GC_00001608	1	1	1	151	15	15
DNA polymerase III sliding clamp (beta) subunit, PCNA homolog (DnaN) (PDB:1JQJ)	0	1	1	NA	COG0592	GC_00001614, GC_00046016, GC_00049521, GC_00064701, GC_00073045	1	1	1	151	15	15
Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	0	1	1	NA	COG0505	GC_00001627	1	1	1	151	15	15
Nucleoside 2-deoxyribosyltransferase (RCL) (PDB:1F8X)	0	1	1	NA	COG3613	GC_00002952, GC_00019037, GC_00020004, GC_00063670, GC_00067779	1	1	1	151	15	15
ABC-type microcin C transport system, duplicated ATPase component YejF (YejF) (PUBMED:17873039)	0	1	1	NA	COG4172	GC_00000959, GC_00011149, GC_00013054, GC_00017403	1	1	1	151	15	15
Uroporphyrinogen-III decarboxylase HemE (HemE) (PDB:2DG5)	0	1	1	NA	COG0407	GC_00000790, GC_00037231	1	1	1	151	15	15
Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific (RluA) (PDB:2I82)	0	1	1	NA	COG0564	GC_00001122, GC_00001453, GC_00002567	1	1	1	151	15	15
Organic hydroperoxide reductase OsmC/OhrA (OsmC) (PDB:1QWI)	0	1	1	NA	COG1764	GC_00000326, GC_00000526, GC_00003589, GC_00007722, GC_00010424, GC_00016446, GC_00016747, GC_00023037, GC_00050538	1	1	1	151	15	15
Uncharacterized conserved protein, contains caspase domain (PDB:3UO8)	0	1	1	NA	COG4249	GC_00000052, GC_00000509, GC_00001058, GC_00001755, GC_00003777, GC_00003787, GC_00005035, GC_00006872, GC_00006882, GC_00008662, GC_00009749, GC_00010862, GC_00010944, GC_00011044, GC_00011253, GC_00011642, GC_00011694, GC_00011957, GC_00012302, GC_00012478, GC_00014030, GC_00014445, GC_00016555, GC_00016922, GC_00018156, GC_00018998, GC_00019857, GC_00019951, GC_00020687, GC_00020753, GC_00022261, GC_00022580, GC_00022797, GC_00023077, GC_00023567, GC_00024079, GC_00024318, GC_00025956, GC_00026119, GC_00026752, GC_00027451, GC_00027739, GC_00028750, GC_00028863, GC_00029945, GC_00030924, GC_00035999, GC_00039234, GC_00040589, GC_00041566, GC_00041582, GC_00042374, GC_00042375, GC_00042376, GC_00044386, GC_00045527, GC_00045744, GC_00046684, GC_00049293, GC_00050644, GC_00051293, GC_00051970, GC_00053052, GC_00054650, GC_00054894, GC_00057680, GC_00060902, GC_00061342, GC_00062112, GC_00062129, GC_00063814, GC_00064879, GC_00066228, GC_00066277, GC_00067036, GC_00072829, GC_00079247	1	1	1	151	15	15
ATP-dependent Lon protease, bacterial type (Lon) (PDB:6ON2)	0	1	1	NA	COG0466	GC_00001302, GC_00001361, GC_00011491, GC_00014777, GC_00014857, GC_00017900, GC_00017901, GC_00019869, GC_00022505, GC_00024557, GC_00024558, GC_00025092, GC_00025301, GC_00025302, GC_00035502, GC_00055698, GC_00061873, GC_00068402, GC_00073863, GC_00075231	1	1	1	151	15	15
Uncharacterized conserved protein YcsI, UPF0317/DUF1446 family (YcsI) (PDB:2PIF)	0	1	1	NA	COG4336	GC_00001087	1	1	1	151	15	15
Zn-dependent protease PmbA/TldA or its inactivated homolog (TldD) (PDB:3TV9) (PUBMED:12029038)	0	1	1	NA	COG0312	GC_00001228, GC_00002619	1	1	1	151	15	15
Membrane-bound lytic murein transglycosylase B (MltB) (PDB:1D0K)!!!Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases (PGRP) (PDB:4FET)	0	1	1	NA	COG2951!!!COG3409	GC_00000833	1	1	1	151	15	15
Murein L,D-transpeptidase YafK (YafK) (PDB:4XZZ)	0	1	1	NA	COG3034	GC_00001243, GC_00009784, GC_00039064, GC_00061015	1	1	1	151	15	15
